Clock,Operator,Threshold,Overall Workload,Single Task Demand,Total Conflict Value,Auditory,Cognitive,Fine Motor,Gross Motor,Speech,Tactile,Visual
10:45.1,Operator,60,63.4,63.4,0,6,21.8,11.2,0,0,0,24.4
10:55.1,Operator,60,56.4,56.4,0,0,20.8,11.2,0,0,0,24.4
10:55.7,Operator,60,69,69,0,0,23.8,13.8,0,4,0,27.4
11:05.4,Operator,60,56.4,56.4,0,0,20.8,11.2,0,0,0,24.4
11:09.9,Operator,60,63.4,63.4,0,6,21.8,11.2,0,0,0,24.4
11:19.9,Operator,60,56.4,56.4,0,0,20.8,11.2,0,0,0,24.4
11:20.5,Operator,60,69,69,0,0,23.8,13.8,0,4,0,27.4
11:29.0,Operator,60,56.4,56.4,0,0,20.8,11.2,0,0,0,24.4
11:38.7,Operator,60,63.4,63.4,0,6,21.8,11.2,0,0,0,24.4
11:48.7,Operator,60,56.4,56.4,0,0,20.8,11.2,0,0,0,24.4
11:50.7,Operator,60,63.4,63.4,0,6,21.8,11.2,0,0,0,24.4
12:00.7,Operator,60,56.4,56.4,0,0,20.8,11.2,0,0,0,24.4
12:09.1,Operator,60,63.4,63.4,0,6,21.8,11.2,0,0,0,24.4
12:15.7,Operator,60,76,76,0,6,24.8,13.8,0,4,0,27.4
12:19.1,Operator,60,69,69,0,0,23.8,13.8,0,4,0,27.4
12:23.5,Operator,60,56.4,56.4,0,0,20.8,11.2,0,0,0,24.4
12:40.3,Operator,60,63.4,63.4,0,6,21.8,11.2,0,0,0,24.4
12:50.3,Operator,60,56.4,56.4,0,0,20.8,11.2,0,0,0,24.4
12:50.8,Operator,60,69,69,0,0,23.8,13.8,0,4,0,27.4
13:00.9,Operator,60,56.4,56.4,0,0,20.8,11.2,0,0,0,24.4
13:05.8,Operator,60,63.4,63.4,0,6,21.8,11.2,0,0,0,24.4
13:15.8,Operator,60,56.4,56.4,0,0,20.8,11.2,0,0,0,24.4
13:25.8,Operator,60,63.4,63.4,0,6,21.8,11.2,0,0,0,24.4
13:35.8,Operator,60,56.4,56.4,0,0,20.8,11.2,0,0,0,24.4
13:41.0,Operator,60,63.4,63.4,0,6,21.8,11.2,0,0,0,24.4
13:51.0,Operator,60,56.4,56.4,0,0,20.8,11.2,0,0,0,24.4
13:54.8,Operator,60,69,69,0,0,23.8,13.8,0,4,0,27.4
14:03.9,Operator,60,56.4,56.4,0,0,20.8,11.2,0,0,0,24.4
14:07.4,Operator,60,63.4,63.4,0,6,21.8,11.2,0,0,0,24.4
14:17.4,Operator,60,56.4,56.4,0,0,20.8,11.2,0,0,0,24.4
14:22.6,Operator,60,63.4,63.4,0,6,21.8,11.2,0,0,0,24.4
14:32.6,Operator,60,56.4,56.4,0,0,20.8,11.2,0,0,0,24.4
14:33.8,Operator,60,63.4,63.4,0,6,21.8,11.2,0,0,0,24.4
14:43.8,Operator,60,56.4,56.4,0,0,20.8,11.2,0,0,0,24.4
